"","input","banz","cope","ks","lex"
"1","(ab ~ a ~ b ~ {})","a ~ b","a ~ b","a ~ b","a ~ b"
"2","(ab ~ a ~ b) > {}","a ~ b","a ~ b","a ~ b","a ~ b"
"3","(ab ~ a ~ {}) > b","a > b","a > b","a > b","a > b"
"4","(ab ~ b ~ {}) > a","b > a","b > a","b > a","b > a"
"5","(a ~ b ~ {}) > ab","a ~ b","a ~ b","a ~ b","a ~ b"
"6","(ab ~ a) > (b ~ {})","a > b","a > b","a > b","a > b"
"7","(ab ~ b) > (a ~ {})","b > a","b > a","b > a","b > a"
"8","(ab ~ {}) > (a ~ b)","a ~ b","a ~ b","a ~ b","a ~ b"
"9","(a ~ b) > (ab ~ {})","a ~ b","a ~ b","a ~ b","a ~ b"
"10","(a ~ {}) > (ab ~ b)","a > b","a > b","a > b","a > b"
"11","(b ~ {}) > (ab ~ a)","b > a","b > a","b > a","b > a"
"12","ab > (a ~ b ~ {})","a ~ b","a ~ b","a ~ b","a ~ b"
"13","a > (ab ~ b ~ {})","a > b","a > b","a > b","a > b"
"14","b > (ab ~ a ~ {})","b > a","b > a","b > a","b > a"
"15","{} > (ab ~ a ~ b)","a ~ b","a ~ b","a ~ b","a ~ b"
"16","(ab ~ a) > b > {}","a > b","a > b","a > b","a > b"
"17","(ab ~ a) > {} > b","a > b","a > b","a > b","a > b"
"18","(ab ~ b) > a > {}","b > a","b > a","b > a","b > a"
"19","(ab ~ {}) > a > b","a ~ b","a > b","a > b","a > b"
"20","(ab ~ b) > {} > a","b > a","b > a","b > a","b > a"
"21","(ab ~ {}) > b > a","a ~ b","b > a","b > a","b > a"
"22","(a ~ b) > ab > {}","a ~ b","a ~ b","a ~ b","a ~ b"
"23","(a ~ {}) > ab > b","a > b","a > b","a > b","a > b"
"24","(b ~ {}) > ab > a","b > a","b > a","b > a","b > a"
"25","(a ~ b) > {} > ab","a ~ b","a ~ b","a ~ b","a ~ b"
"26","(a ~ {}) > b > ab","a > b","a > b","a > b","a > b"
"27","(b ~ {}) > a > ab","b > a","b > a","b > a","b > a"
"28","ab > (a ~ b) > {}","a ~ b","a ~ b","a ~ b","a ~ b"
"29","ab > (a ~ {}) > b","a > b","a > b","a > b","a > b"
"30","ab > (b ~ {}) > a","b > a","b > a","b > a","b > a"
"31","a > (ab ~ b) > {}","a > b","a > b","a > b","a > b"
"32","a > (ab ~ {}) > b","a > b","a > b","a > b","a > b"
"33","b > (ab ~ a) > {}","b > a","b > a","b > a","b > a"
"34","{} > (ab ~ a) > b","a > b","a > b","a > b","a > b"
"35","b > (ab ~ {}) > a","b > a","b > a","b > a","b > a"
"36","{} > (ab ~ b) > a","b > a","b > a","b > a","b > a"
"37","a > (b ~ {}) > ab","a > b","a > b","a > b","a > b"
"38","b > (a ~ {}) > ab","b > a","b > a","b > a","b > a"
"39","{} > (a ~ b) > ab","a ~ b","a ~ b","a ~ b","a ~ b"
"40","ab > a > (b ~ {})","a > b","a > b","a > b","a > b"
"41","ab > b > (a ~ {})","b > a","b > a","b > a","b > a"
"42","ab > {} > (a ~ b)","a ~ b","a ~ b","a ~ b","a ~ b"
"43","a > ab > (b ~ {})","a > b","a > b","a > b","a > b"
"44","b > ab > (a ~ {})","b > a","b > a","b > a","b > a"
"45","{} > ab > (a ~ b)","a ~ b","a ~ b","a ~ b","a ~ b"
"46","a > b > (ab ~ {})","a ~ b","a > b","a > b","a > b"
"47","a > {} > (ab ~ b)","a > b","a > b","a > b","a > b"
"48","b > a > (ab ~ {})","a ~ b","b > a","b > a","b > a"
"49","{} > a > (ab ~ b)","a > b","a > b","a > b","a > b"
"50","b > {} > (ab ~ a)","b > a","b > a","b > a","b > a"
"51","{} > b > (ab ~ a)","b > a","b > a","b > a","b > a"
"52","ab > a > b > {}","a ~ b","a > b","a > b","a > b"
"53","ab > a > {} > b","a > b","a > b","a > b","a > b"
"54","ab > b > a > {}","a ~ b","b > a","b > a","b > a"
"55","ab > {} > a > b","a ~ b","a > b","a > b","a > b"
"56","ab > b > {} > a","b > a","b > a","b > a","b > a"
"57","ab > {} > b > a","a ~ b","b > a","b > a","b > a"
"58","a > ab > b > {}","a > b","a > b","a > b","a > b"
"59","a > ab > {} > b","a > b","a > b","a > b","a > b"
"60","b > ab > a > {}","b > a","b > a","b > a","b > a"
"61","{} > ab > a > b","a ~ b","a > b","a > b","a > b"
"62","b > ab > {} > a","b > a","b > a","b > a","b > a"
"63","{} > ab > b > a","a ~ b","b > a","b > a","b > a"
"64","a > b > ab > {}","a ~ b","a > b","a > b","a > b"
"65","a > {} > ab > b","a > b","a > b","a > b","a > b"
"66","b > a > ab > {}","a ~ b","b > a","b > a","b > a"
"67","{} > a > ab > b","a > b","a > b","a > b","a > b"
"68","b > {} > ab > a","b > a","b > a","b > a","b > a"
"69","{} > b > ab > a","b > a","b > a","b > a","b > a"
"70","a > b > {} > ab","a ~ b","a > b","a > b","a > b"
"71","a > {} > b > ab","a > b","a > b","a > b","a > b"
"72","b > a > {} > ab","a ~ b","b > a","b > a","b > a"
"73","{} > a > b > ab","a ~ b","a > b","a > b","a > b"
"74","b > {} > a > ab","b > a","b > a","b > a","b > a"
"75","{} > b > a > ab","a ~ b","b > a","b > a","b > a"
